image_path,split,label,class_name,episode_id,capture_timestamp,snn_left,snn_straight,snn_right,snn_source,steering
..\..\..\carla_data\straight\STRAIGHT_2297_20260404_030659_042573.png,test,1,straight,time_group_001,2026-04-04T03:06:59.042573,0.19393732,0.72913795,0.07692473,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2342_20260404_030700_595800.png,test,1,straight,time_group_001,2026-04-04T03:07:00.595800,0.12795189,0.76036073,0.11168738,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2390_20260404_030701_978860.png,test,1,straight,time_group_001,2026-04-04T03:07:01.978860,0.12841439,0.80568865,0.06589697,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2435_20260404_030703_435218.png,test,1,straight,time_group_001,2026-04-04T03:07:03.435218,0.20809238,0.63397693,0.15793070,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2481_20260404_030704_953326.png,test,1,straight,time_group_001,2026-04-04T03:07:04.953326,0.32760639,0.11837252,0.55402109,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2532_20260404_030706_378053.png,test,1,straight,time_group_001,2026-04-04T03:07:06.378053,0.12706229,0.68902609,0.18391161,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2714_20260404_030711_259930.png,test,1,straight,time_group_001,2026-04-04T03:07:11.259930,0.20611201,0.68172057,0.11216741,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2766_20260404_030712_528092.png,test,1,straight,time_group_001,2026-04-04T03:07:12.528092,0.74510769,0.09565423,0.15923808,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2826_20260404_030714_098167.png,test,1,straight,time_group_001,2026-04-04T03:07:14.098167,0.27650797,0.16483328,0.55865876,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2878_20260404_030715_540253.png,test,1,straight,time_group_001,2026-04-04T03:07:15.540253,0.17118026,0.68957066,0.13924907,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2908_20260404_030716_499996.png,test,1,straight,time_group_001,2026-04-04T03:07:16.499996,0.17732741,0.72722556,0.09544703,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2967_20260404_030717_728866.png,test,1,straight,time_group_001,2026-04-04T03:07:17.728866,0.04586726,0.87086412,0.08326861,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_2987_20260404_030718_412785.png,test,1,straight,time_group_001,2026-04-04T03:07:18.412785,0.18475754,0.08571016,0.72953230,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3012_20260404_030719_066939.png,test,1,straight,time_group_001,2026-04-04T03:07:19.066939,0.88695384,0.05809780,0.05494836,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3072_20260404_030720_391763.png,test,1,straight,time_group_001,2026-04-04T03:07:20.391763,0.08555053,0.70029334,0.21415614,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3104_20260404_030721_199080.png,test,1,straight,time_group_001,2026-04-04T03:07:21.199080,0.76933468,0.10935331,0.12131201,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3143_20260404_030722_228215.png,test,1,straight,time_group_001,2026-04-04T03:07:22.228215,0.15291346,0.10115792,0.74592862,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3170_20260404_030723_160915.png,test,1,straight,time_group_001,2026-04-04T03:07:23.160915,0.07424298,0.09404402,0.83171301,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3208_20260404_030723_963622.png,test,1,straight,time_group_001,2026-04-04T03:07:23.963622,0.56158824,0.26014724,0.17826452,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3264_20260404_030725_462429.png,test,1,straight,time_group_001,2026-04-04T03:07:25.462429,0.13181524,0.73301108,0.13517368,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3313_20260404_030726_762954.png,test,1,straight,time_group_001,2026-04-04T03:07:26.762954,0.14191856,0.71994920,0.13813224,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3366_20260404_030728_154944.png,test,1,straight,time_group_001,2026-04-04T03:07:28.154944,0.84099102,0.06201259,0.09699639,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3418_20260404_030729_641029.png,test,1,straight,time_group_001,2026-04-04T03:07:29.641029,0.14007064,0.79126660,0.06866277,fake_debug_only_ground_truth_derived,
..\..\..\carla_data\straight\STRAIGHT_3468_20260404_030731_013874.png,test,1,straight,time_group_001,2026-04-04T03:07:31.013874,0.08752223,0.88784387,0.02463390,fake_debug_only_ground_truth_derived,
